"reference","lng","lat""orders"
pup4486,27.833846,-26.72166,12
pup870,31.020506,-29.858853,3888
pup2823,20.59649277,-33.025383,116
pup4061,26.735958,-27.976744,77
pup2733,27.9448011,-26.061007,196
pup4832,30.8873382,-29.9633581,2
pup4145,18.52262,-33.941741,4
pup2408,17.9854916,-32.9216323,897
pup2065,25.5750166,-33.9493801,520
pup675,26.872287,-31.896133,2951
pup4779,28.8128781,-30.3427518,39
pup2311,30.1579231,-23.8227633,648
pup2533,18.6361563,-33.8770249,2321
pup3846,18.5046565,-33.8302969,62
pup3173,23.4336963,-27.4604076,1876
pup708,23.435372,-27.462147,3044
pup4533,28.2826805,-25.4033801,65
pup2566,30.3210687,-24.6665275,11
pup3123,30.8983835,-30.0347572,3171
pup4538,28.2054,-25.8289,143
pup3748,27.8978971,-32.9704861,503
pup1435,30.937105,-29.8477069,3791
pup4592,21.24237,-28.458961,4
pup4468,28.199882,-26.13009,15
pup2270,27.1059782,-26.712508,1792
pup3703,28.0304749,-26.1250551,298
pup2738,18.4187594,-33.9032523,222
pup235,29.874909,-29.003702,611
pup4141,30.9676139,-25.4371664,4
pup1493,30.9569749,-25.4697265,1058
pup3262,28.1253172,-25.9957256,1654
pup1778,18.495715,-34.0482939,268
pup762,28.079743,-25.974615,2087
pup583,14.503697,-22.956647,
pup4783,28.2560918,-25.6528049,6
pup3991,27.55611,-25.754702,79
pup2877,20.5438043,-34.0388765,136
pup778,28.333529,-25.715501,4868
pup4673,28.107101,-25.781736,31
pup4619,29.8182053,-23.1138272,13
pup942,28.217925,-25.679112,2891
pup1472,18.6158835,-34.0397849,1062
pup1312,28.183811,-32.3208054,139
pup2905,27.9013505,-26.258253,27278
pup4601,27.2236942,-25.6593139,124
pup3537,27.1018974,-26.7117158,499
pup1458,31.0660301,-29.7256363,3209
pup2576,27.8298569,-26.8099472,34
pup3432,27.8269949,-26.3194559,155
pup1621,25.6682084,-33.9867476,3003
pup265,29.446407,-23.91941,763
pup4283,29.508627,-23.8738701,219
pup4066,29.448577,-23.904641,6
pup2524,28.106937,-26.015085,681
pup946,28.2944,-25.744314,2795
pup3979,28.272788,-25.681481,21
pup1507,31.0660245,-29.7259935,1792
pup4252,29.9415406,-27.7786472,607
pup4725,18.461315,-34.014436,
pup4743,25.5252015,-33.9769819,3
pup1934,30.6387102,-29.3454027,936
pup4355,25.5942,-33.8109,547
pup467,28.097727,-26.132843,758
pup4678,18.39039,-33.912251,42
pup3887,28.1805696,-25.8581029,220
pup3820,27.9799973,-26.267327,1747
pup2331,29.9334929,-27.7560509,2282
pup1267,18.5388919,-33.9455642,248
pup4686,30.801277,-29.73711,1
pup2071,27.9821315,-26.2665915,2303
pup151,28.390964,-26.257813,566
pup2216,28.2393549,-26.1817703,727
pup4082,27.870546,-26.472412,272
pup3186,18.4842558,-33.9894542,4348
pup486,16.9089,-21.9847,2007
pup789,28.089983,-25.550444,5042
pup1792,18.8522646,-34.0862975,112
pup4380,27.9265797,-26.6750029,23
pup3620,18.5577344,-33.8917145,1330
pup2120,31.203843,-29.526305,457
pup3480,28.0090592,-26.0804992,156
pup4019,25.47,-33.799874,10
pup4076,27.860052,-26.252206,467
pup2430,29.99118,-26.51836,21
pup3062,28.4166229,-26.1529221,1205
pup2424,26.7360599,-27.98397,105
pup4006,19.221433,-34.413986,4
pup4482,26.657705,-26.826515,34
pup2749,28.0927682,-25.6826857,484
pup1149,31.4071245,-29.1420509,371
pup1479,18.5099153,-33.8933604,1067
pup4552,31.0857,-29.7269,237
pup109,27.856524,-26.13158,987
pup3570,28.1051185,-26.0160083,486
pup1087,28.000914,-26.107083,1931
pup4296,22.4966386,-33.9835482,42
pup2394,24.7523259,-30.0050489,461
pup1872,27.8261624,-26.3178961,29
pup4177,24.7629879,-28.7407927,255
pup3862,28.0052471,-26.0971265,17
pup961,27.999808,-26.017596,2533
pup4383,30.2316501,-29.4860862,21
pup3792,28.441565,-26.2552886,483
pup1496,18.6313511,-33.8698529,1795
pup719,27.781663,-26.086859,5055
pup4805,30.7707879,-29.7867719,5
pup3523,28.1158496,-26.1796591,160
pup1064,24.7723837,-29.1297448,980
pup3330,18.509723,-33.8938013,235
pup4083,26.702693,-26.8502782,15
pup1421,18.5889375,-34.02273,4140
pup1459,18.4231895,-33.9231627,3349
pup3165,26.0814013,-25.5437951,1662
pup4498,30.4615884,-23.1233375,9
pup751,28.301928,-25.837919,2115
pup3648,28.0378022,-26.2034647,234
pup1989,28.4577,-26.2734,375
pup2771,27.8019438,-25.6499772,324
pup3773,28.183161,-26.3442313,1725
pup4517,29.7356056,-25.0352253,17
pup1801,27.8264251,-26.3178891,29
pup3277,27.1029751,-26.7125239,2295
pup3705,25.5523502,-33.9612402,
pup1109,19.4327566,-33.6326808,3579
pup4072,28.191772,-25.746006,409
pup1568,27.2387155,-25.6670688,1215
pup4169,18.9636553,-33.7307657,1820
pup739,27.886348,-25.73164,2900
pup565,29.241545,-26.951768,7590
pup2342,28.0688979,-26.1322177,396
pup2460,29.87267,-29.00903,1074
pup1697,18.4143358,-33.9253643,227
pup721,28.354999,-26.494794,1797
pup374,25.004121,-31.495055,812
pup3258,18.4454,-34.0287134,100
pup3934,27.830013,-26.25466,121
pup3455,29.2431372,-26.955225,155
pup913,19.002738,-33.650574,3675
pup2305,24.7470999,-27.5597737,1381
pup824,28.322017,-25.766742,3998
pup3788,28.1919444,-24.2539167,
pup157,30.760712,-30.209429,657
pup4253,28.3159117,-26.2511955,221
pup1263,28.0954249,-26.3155562,949
pup772,30.930676,-29.826622,3447
pup842,30.301106,-29.553686,1352
pup1615,26.6309718,-32.778466,2414
pup2785,28.3112342,-25.8237701,494
pup3739,18.3892048,-34.1212811,1758
pup4232,30.3554014,-29.6491157,90
pup4411,22.4548054,-33.9601054,18
pup1937,27.9842035,-26.144404,2352
pup2521,18.5110653,-33.892653,592
pup1800,27.8114425,-26.2753472,200
pup2777,24.7590374,-28.7588432,346
pup2245,24.7633,-28.739348,490
pup517,18.560417,-33.891097,6663
pup3239,28.8030287,-28.533978,3247
pup3527,28.0125487,-26.0208149,1286
pup1277,31.7832341,-25.6783954,4248
pup3143,29.3952122,-25.1661749,926
pup2357,27.9815197,-26.2658359,583
pup512,18.443723,-33.731257,1820
pup1234,28.057808,-26.196132,123
pup4557,27.832826,-26.329064,123
pup3661,28.0427388,-26.1949974,2
pup713,27.983037,-26.001503,2861
pup303,21.4043,-34.3714,1008
pup4207,29.934069,-27.75606,557
pup3836,26.2086352,-29.1150424,7
pup4230,30.8829487,-29.3726004,17
pup4414,28.015259,-25.574405,19
pup4802,27.5944393,-30.968195,2
pup4755,28.0103092,-26.0169521,8
pup1954,30.812506,-29.748901,1412
pup4540,18.5067,-33.8947,140
pup3168,27.2512153,-25.7069442,534
pup2313,29.9389293,-30.2647987,707
pup2272,19.4353129,-33.6316424,1018
pup2681,27.5792947,-31.9995796,1
pup840,30.395434,-29.616606,979
pup2090,28.1573276,-26.1898138,522
pup3734,18.4235442,-33.9236819,1926
pup1436,25.5785895,-33.9489251,3280
pup910,26.667546,-26.868737,5366
pup3223,27.7803,-26.1669,896
pup1939,19.021569,-34.340448,715
pup1520,18.4199772,-33.9039476,215
pup3858,18.5904626,-34.002394,12
pup1617,29.9248924,-27.7337305,1774
pup987,28.143567,-25.846541,2343
pup3557,28.0048464,-26.0195401,263
pup1898,29.6158263,-26.7322809,148
pup1153,18.476969,-34.012956,218
pup4546,28.1265,-25.9805,46
pup3481,28.0493,-26.0999,1034
pup1492,26.210793,-29.1148772,997
pup3438,19.2243164,-34.4195757,127
pup3183,18.8581346,-33.9353513,1403
pup4277,27.9442404,-26.0586591,525
pup3985,27.995881,-25.605315,77
pup1877,28.417971,-26.154214,45
pup2497,25.327859,-27.1911377,1146
pup3662,18.4516908,-34.0638784,9
pup2391,31.2109,-24.7729,1473
pup329,26.157537,-26.150132,349
pup3641,25.5764872,-33.948986,173
pup722,28.325429,-25.754025,2868
pup2425,26.7077,-30.68975,18
pup457,29.717711,-26.15943,231
pup1485,18.5117159,-33.8923754,466
pup2520,18.4640228,-33.9800956,688
pup1300,19.49304,-33.646831,282
